LOC104918243	NLR family CARD domain-containing protein 3-like 
LOC104918240	uncharacterized protein LOC104918240 
LOC104918238	interleukin-1 receptor type 2
LOC104918237	mitogen-activated protein kinase kinase kinase kinase 4
LOC113745774	piggyBac transposable element-derived protein 4-like 
LOC113745637	zinc finger BED domain-containing protein 1-like 
LOC109139320	immunoglobulin lambda-1 light chain, partial 
LOC109139461	uncharacterized protein LOC109139461 
LOC104917906	eukaryotic translation initiation factor 4E-1A 
LOC104917907	alcohol dehydrogenase class-3 
LOC104917909	alcohol dehydrogenase class-3
si:dkey-237h12.3	teneurin-3
LOC113746811	homeobox protein Meis2-like 
LOC113747111	ribonuclease kappa-A-like 
LOC104937155	chromatin complexes subunit BAP18
LOC113747337	P2Y purinoceptor 3-like 
LOC113747090	schwannomin-interacting protein 1-like
LOC113744012	signal-regulatory protein beta-2-like 
LOC113745987	uncharacterized protein LOC113745987 
LOC113746004	uncharacterized protein LOC113746004 
LOC113746660	tripartite motif-containing protein 16-like 
LOC104937724	complexin-2 
LOC104934353	very long-chain acyl-CoA synthetase 
LOC104938985	E3 ubiquitin-protein ligase MARCH3
LOC104934745	pre-B-cell leukemia transcription factor 3
LOC104934586	LIM/homeobox protein LMX-1.2 
LOC104936761	steroidogenic factor 1 
LOC104926504	ras-specific guanine nucleotide-releasing factor RalGPS1 
LOC104928047	angiopoietin-related protein 2 
LOC104928039	rapamycin-insensitive companion of mTOR
LOC104928042	stromelysin-3 
LOC104940372	T-lymphocyte activation antigen CD86 
LOC104940379	sterile alpha motif domain-containing protein 9-like 
LOC104930439	high affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A 
LOC104930438	protein NLRC3 
LOC104930428	protein FAM171B-like
LOC104921682	insulin-like growth factor-binding protein 2-B 
LOC113746816	sterol 26-hydroxylase, mitochondrial 
LOC104936010	CCR4-NOT transcription complex subunit 9 
LOC104936016	olfactory receptor 142 
LOC109140799	olfactory receptor 5F1-like 
LOC109140797	olfactory receptor 142-like 
LOC109140795	olfactory receptor 142-like 
LOC109140796	olfactory receptor 4E1-like 
LOC104926115	olfactory receptor 11H6-like 
LOC109140798	pancreas transcription factor 1 subunit alpha 
LOC104926109	histone deacetylase 4
LOC104926114	lactase-phlorizin hydrolase 
LOC104939725	lactase-phlorizin hydrolase 
LOC104925870	C-X-C chemokine receptor type 1
LOC104937985	uncharacterized protein LOC104937985 
LOC104920795	signal transducer and activator of transcription 1-alpha/beta
LOC104920785	holotricin-3-like 
LOC104920803	nck-associated protein 5
LOC104920802	ly6/PLAUR domain-containing protein 1 
LOC109141267	LARGE xylosyl- and glucuronyltransferase 1 
LOC104929826	solute carrier family 35 member F5
LOC104929831	ras-related protein Rab-17 
LOC104940384	collagen alpha-3(VI) chain-like
LOC113744008	collagen alpha-3(VI) chain-like 
LOC104930745	E3 ubiquitin/ISG15 ligase TRIM25, partial 
LOC113747166	E3 ubiquitin/ISG15 ligase TRIM25-like, partial 
LOC104936481	tripartite motif-containing protein 16 
LOC109140267	tripartite motif-containing protein 16 
LOC104930747	protocadherin-1 
LOC109138282	tripartite motif-containing protein 16 
LOC109138288	protocadherin-17 
LOC113746699	tripartite motif-containing protein 16-like 
LOC109138283	tripartite motif-containing protein 16-like 
LOC104921455	tripartite motif-containing protein 16-like 
LOC104939281	transcription factor COE3-like 
LOC113745832	nascent polypeptide-associated complex subunit alpha, muscle-specific form-like 
LOC104936642	RNA-binding protein 20
LOC109138918	uncharacterized protein LOC109138918
LOC104936643	polyadenylate-binding protein-interacting protein 2 
LOC104936645	proteinase-activated receptor 4
LOC109139915	arachidonate 12-lipoxygenase, 12S-type 
LOC104936080	ATP-binding cassette sub-family A member 1 
LOC104938304	E3 ubiquitin-protein ligase RNF4 
LOC104939445	probable pancreatic secretory proteinase inhibitor 
LOC104938022	choline transporter-like protein 5-A 
LOC113746024	tripartite motif-containing protein 16-like 
LOC113746026	tripartite motif-containing protein 29-like 
LOC104932914	prostaglandin reductase 1 
LOC113748024	uncharacterized protein LOC113748024
LOC113745577	fibrous sheath CABYR-binding protein-like
LOC104932918	negative elongation factor A 
LOC113745838	uncharacterized protein LOC113745838 
si:dkey-185m8.2	trichohyalin 
LOC104936959	poly 
LOC104937999	growth-regulated alpha protein 
LOC104940101	CD276 antigen-like 
LOC109142822	leucine-rich repeats and immunoglobulin-like domains protein 2
LOC109142824	butyrophilin-like protein 2
LOC109142823	butyrophilin subfamily 2 member A2
LOC113747067	butyrophilin subfamily 1 member A1-like 
LOC104938219	DDB1- and CUL4-associated factor 1 
LOC113745643	vacuolar protein sorting-associated protein 52 homolog 
LOC113745841	tripartite motif-containing protein 16-like 
LOC104937296	tripartite motif-containing protein 16 
